City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Lompoc,US,69.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
2,Amuntai,ID,74.41,overcast clouds,-2.4177,115.2494,Hotel Balqis
3,Sao Filipe,CV,72.95,clear sky,14.8961,-24.4956,Hotel Xaguate
9,Namibe,AO,72.61,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
10,Padang,ID,77.9,moderate rain,-0.9492,100.3543,Mercure Padang
11,Lashio,MM,69.3,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
13,Rikitea,PF,76.19,light rain,-23.1203,-134.9692,People ThankYou
14,Dingle,PH,76.68,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
19,Sorong,ID,77.59,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
24,Port Alfred,ZA,66.11,clear sky,-33.5906,26.891,The Halyards Hotel
42,Hualmay,PE,70.92,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
43,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Saint-Philippe,RE,75.22,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
51,Benguela,AO,76.41,light rain,-12.5763,13.4055,Hotel Praia Morena
52,Cuauhtemoc,MX,78.26,clear sky,28.4167,-106.8667,Motel Tarahumara Inn
61,Omboue,GA,78.85,overcast clouds,-1.5746,9.2618,Hotel Olako
62,Ambilobe,MG,73.26,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
65,Madang,PG,76.19,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
77,Chuy,UY,66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
82,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
94,Atuona,PF,78.64,light rain,-9.8,-139.0333,Villa Enata
95,Quang Ngai,VN,76.23,overcast clouds,15.1167,108.8,Central Hotel
99,Castro,BR,69.91,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
106,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
117,Sukumo,JP,66.02,overcast clouds,32.9333,132.7333,Sukumojo
118,Saint-Joseph,RE,74.21,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
119,Axim,GH,78.76,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
121,Kendari,ID,75.43,overcast clouds,-3.945,122.4989,Hotel Wixel
123,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
125,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,Simao,CN,66.47,clear sky,22.7886,100.9748,Changyu Hotel
129,Kotido,UG,65.8,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
132,Sibolga,ID,77.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
133,Luena,AO,68.47,overcast clouds,-11.7833,19.9167,Hotel Kandamba
139,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
153,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
156,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
162,Mantua,IT,65.35,clear sky,45.1667,10.7833,Hotel la Favorita
166,Sacramento,US,66,clear sky,38.4666,-121.3177,fairefield inn mariot
