City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,4/27/22 17:18,-23.1203,-134.9692,77.67,72,51,24
1,Amapa,BR,4/27/22 17:19,1,-52,84.42,70,99,3.78
2,Kavieng,PG,4/27/22 17:19,-2.5744,150.7967,82.96,78,36,15.12
3,Beyneu,KZ,4/27/22 17:19,45.3167,55.2,70.56,33,94,15.79
4,Georgetown,MY,4/27/22 17:15,5.4112,100.3354,85.95,84,20,0
5,Brae,GB,4/27/22 17:19,60.3964,-1.353,45.1,65,52,9.42
6,Castro,BR,4/27/22 17:19,-24.7911,-50.0119,78.71,50,3,8.86
7,Vaini,TO,4/27/22 17:19,-21.2,-175.2,75.36,69,40,11.5
8,Albany,US,4/27/22 17:19,42.6001,-73.9662,49.78,47,62,4
9,Mareeba,AU,4/27/22 17:19,-17,145.4333,72.32,91,24,2.51
10,Yellowknife,CA,4/27/22 17:19,62.456,-114.3525,45.12,49,20,6.91
11,Faya,SA,4/27/22 17:19,18.3851,42.4509,66.31,54,22,7.85
12,Busselton,AU,4/27/22 17:19,-33.65,115.3333,61.27,67,91,12.15
13,Ostrovnoy,RU,4/27/22 17:19,68.0531,39.5131,19.62,77,40,16.22
14,Belmonte,BR,4/27/22 17:19,-15.8631,-38.8828,82.35,67,87,8.61
15,Egvekinot,RU,4/27/22 17:19,66.3167,-179.1667,17.38,85,99,5.82
16,East London,ZA,4/27/22 17:19,-33.0153,27.9116,63.54,82,0,8.05
17,Buenos Aires,AR,4/27/22 17:15,-34.6132,-58.3772,68.94,32,0,4.61
18,Wajima,JP,4/27/22 17:19,37.4,136.9,48.49,68,47,8.7
19,Hobart,AU,4/27/22 17:19,-42.8794,147.3294,57.27,94,100,3.44
20,Iqaluit,CA,4/27/22 17:19,63.7506,-68.5145,13.73,72,75,18.41
21,Hilo,US,4/27/22 17:18,19.7297,-155.09,76.28,96,100,5.75
22,Avarua,CK,4/27/22 17:17,-21.2078,-159.775,73.45,100,75,1.14
23,Vrangel,RU,4/27/22 17:19,42.7297,133.0839,43.75,60,47,5.55
24,Jamestown,US,4/27/22 17:18,42.097,-79.2353,33.39,76,100,14.97
25,Souillac,MU,4/27/22 17:19,-20.5167,57.5167,73.78,94,20,4.61
