City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Grindavik,IS,63.8424,-22.4338,50.47,71,40,13.8,scattered clouds
1,Lompoc,US,34.6391,-120.4579,69.69,61,0,17,clear sky
2,Amuntai,ID,-2.4177,115.2494,74.41,98,100,0.74,overcast clouds
3,Sao Filipe,CV,14.8961,-24.4956,72.95,70,0,11.72,clear sky
4,Gazli,UZ,40.1333,63.45,76.87,25,45,14.58,scattered clouds
5,Lahij,YE,13.1667,44.5833,79.52,56,0,7.27,clear sky
6,Hilo,US,19.7297,-155.09,82.27,79,40,5.99,scattered clouds
7,Mar Del Plata,AR,-38.0023,-57.5575,55.42,76,75,18.99,broken clouds
8,Hermanus,ZA,-34.4187,19.2345,60.8,83,100,8.46,overcast clouds
9,Namibe,AO,-15.1961,12.1522,72.61,74,13,6.58,few clouds
10,Padang,ID,-0.9492,100.3543,77.9,87,100,2.62,moderate rain
11,Lashio,MM,22.9333,97.75,69.3,37,6,1.61,clear sky
12,Punta Arenas,CL,-53.15,-70.9167,46.42,76,75,24.16,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,76.19,74,31,22.79,light rain
14,Dingle,PH,10.9995,122.6711,76.68,91,100,6.91,overcast clouds
15,Eyl,SO,7.9803,49.8164,82.89,72,6,10.27,clear sky
16,Aklavik,CA,68.2191,-135.0107,10.4,79,100,0,overcast clouds
17,Avarua,CK,-21.2078,-159.775,80.65,83,40,9.22,scattered clouds
18,Bluff,NZ,-46.6,168.3333,47.26,88,55,6.08,broken clouds
19,Sorong,ID,-0.8833,131.25,77.59,84,100,4.43,overcast clouds
20,Kodiak,US,57.79,-152.4072,42.31,70,100,10.36,light rain
21,Cape Town,ZA,-33.9258,18.4232,60.91,86,0,9.22,clear sky
22,Albany,US,42.6001,-73.9662,53.17,23,6,5.99,clear sky
23,Ossora,RU,59.2353,163.0719,31.55,97,100,22.66,snow
24,Port Alfred,ZA,-33.5906,26.891,66.11,61,2,9.53,clear sky
25,Constitucion,CL,-35.3333,-72.4167,59.43,53,0,15.41,clear sky
26,Deputatskiy,RU,69.3,139.9,-4.67,100,94,3.76,overcast clouds
27,Saskylakh,RU,71.9167,114.0833,24.3,94,100,8.43,overcast clouds
28,Klaksvik,FO,62.2266,-6.589,45.52,78,13,5.23,few clouds
29,Lofthus,NO,59.9468,10.8018,50.67,40,100,3.53,overcast clouds
30,Caravelas,BR,-17.7125,-39.2481,81.43,64,0,7.18,clear sky
31,Madimba,TZ,-10.4,40.3333,77.04,85,100,11.01,overcast clouds
32,Lagoa,PT,39.05,-27.9833,60.24,96,100,19.66,heavy intensity rain
33,Hobart,AU,-42.8794,147.3294,59.05,92,4,9.22,clear sky
34,Yellowknife,CA,62.456,-114.3525,37.92,52,75,18.41,broken clouds
35,Ushuaia,AR,-54.8,-68.3,46.02,70,40,35.68,scattered clouds
36,Aitape,PG,-3.1374,142.3475,77.04,88,97,3.74,overcast clouds
37,Busselton,AU,-33.65,115.3333,57.33,74,51,6.51,broken clouds
38,Vryburg,ZA,-26.9566,24.7284,61.41,55,3,9.28,clear sky
39,Da Lat,VN,11.9465,108.4419,61.72,93,100,2.01,overcast clouds
